Primary Type,Description,Arrest,Beat,Community Area,,
ROBBERY,ARMED: HANDGUN,FALSE,1524,25,,
THEFT,$500 AND UNDER,FALSE,1011,29,,
THEFT,RETAIL THEFT,TRUE,2535,23,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1225,28,,
ASSAULT,SIMPLE,FALSE,314,42,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,112,32,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1022,30,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2523,21,,
THEFT,RETAIL THEFT,FALSE,122,32,,
BATTERY,SIMPLE,FALSE,611,71,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2213,72,,
THEFT,RETAIL THEFT,TRUE,912,59,,
THEFT,$500 AND UNDER,TRUE,2521,19,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1712,13,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,811,56,,
BATTERY,SIMPLE,FALSE,1014,29,,
ASSAULT,SIMPLE,FALSE,2222,71,,
THEFT,FROM BUILDING,FALSE,1834,8,,
THEFT,OVER $500,FALSE,632,44,,
THEFT,$500 AND UNDER,FALSE,714,67,,
THEFT,$500 AND UNDER,FALSE,133,35,,
ASSAULT,SIMPLE,FALSE,523,53,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,815,57,,
THEFT,$500 AND UNDER,FALSE,1913,3,,
ROBBERY,ARMED: HANDGUN,TRUE,1433,24,,
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,FALSE,815,57,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,312,69,,
THEFT,$500 AND UNDER,FALSE,212,35,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,622,71,,
NARCOTICS,POSS: HEROIN(BRN/TAN),TRUE,311,40,,
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,FALSE,1134,29,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1034,31,,
ASSAULT,SIMPLE,FALSE,1614,76,,
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,FALSE,133,33,,
THEFT,RETAIL THEFT,TRUE,513,51,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1032,30,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1032,30,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,915,60,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1211,24,,
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,FALSE,914,34,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1031,30,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,835,70,,
THEFT,$500 AND UNDER,FALSE,324,43,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,312,69,,
THEFT,OVER $500,FALSE,132,33,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,524,53,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,912,31,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,913,60,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,532,53,,
BURGLARY,UNLAWFUL ENTRY,FALSE,1214,28,,
THEFT,RETAIL THEFT,FALSE,825,66,,
BURGLARY,FORCIBLE ENTRY,FALSE,2221,73,,
BATTERY,SIMPLE,FALSE,511,49,,
THEFT,$500 AND UNDER,FALSE,413,48,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1031,30,,
THEFT,$500 AND UNDER,FALSE,731,69,,
THEFT,FROM BUILDING,FALSE,732,68,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1524,25,,
OTHER OFFENSE,OTHER VEHICLE OFFENSE,FALSE,734,67,,
ASSAULT,SIMPLE,FALSE,421,43,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,213,38,,
BURGLARY,FORCIBLE ENTRY,FALSE,713,67,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,1413,22,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,815,57,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2031,4,,
DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,FALSE,932,61,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,811,64,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,2221,73,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,911,58,,
THEFT,RETAIL THEFT,FALSE,112,32,,
THEFT,$500 AND UNDER,FALSE,2411,2,,
DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,FALSE,524,53,,
ROBBERY,AGGRAVATED,FALSE,422,46,,
BURGLARY,FORCIBLE ENTRY,FALSE,922,58,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1223,28,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,421,43,,
OTHER OFFENSE,OTHER VEHICLE OFFENSE,TRUE,2213,72,,
THEFT,RETAIL THEFT,TRUE,513,50,,
THEFT,$500 AND UNDER,FALSE,1414,22,,
THEFT,FROM BUILDING,FALSE,123,32,,
THEFT,OVER $500,FALSE,1212,24,,
ASSAULT,SIMPLE,FALSE,522,53,,
KIDNAPPING,AGGRAVATED,FALSE,2011,2,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2024,3,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,2535,23,,
THEFT,OVER $500,FALSE,111,32,,
BATTERY,SIMPLE,FALSE,312,42,,
NARCOTICS,POSS: HEROIN(WHITE),TRUE,1114,26,,
THEFT,RETAIL THEFT,FALSE,933,61,,
NARCOTICS,POSS: HEROIN(WHITE),TRUE,1531,25,,
NARCOTICS,FOUND SUSPECT NARCOTICS,TRUE,1112,23,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,434,51,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1125,28,,
BATTERY,SIMPLE,FALSE,2511,19,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,2431,1,,
ASSAULT,SIMPLE,FALSE,913,60,,
THEFT,RETAIL THEFT,TRUE,112,32,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,1513,25,,
THEFT,FROM BUILDING,FALSE,913,60,,
NARCOTICS,MANU/DELIVER: HEROIN (WHITE),TRUE,932,61,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1424,24,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,431,51,,
BURGLARY,FORCIBLE ENTRY,FALSE,231,40,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1111,25,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,314,42,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,624,69,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,132,33,,
ASSAULT,SIMPLE,FALSE,421,43,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,331,43,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1213,24,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,112,32,,
DECEPTIVE PRACTICE,BOGUS CHECK,FALSE,2232,73,,
ASSAULT,SIMPLE,FALSE,2031,4,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,524,53,,
NARCOTICS,POSS: HEROIN(WHITE),TRUE,1132,29,,
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,FALSE,935,61,,
THEFT,POCKET-PICKING,FALSE,1724,16,,
OTHER OFFENSE,PAROLE VIOLATION,TRUE,2532,25,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,631,44,,
ROBBERY,ARMED: HANDGUN,FALSE,1033,30,,
NARCOTICS,POSSESSION OF DRUG EQUIPMENT,TRUE,815,56,,
THEFT,RETAIL THEFT,FALSE,111,32,,
BURGLARY,UNLAWFUL ENTRY,FALSE,825,66,,
OTHER OFFENSE,PAROLE VIOLATION,TRUE,512,49,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1125,28,,
THEFT,OVER $500,FALSE,2023,77,,
THEFT,RETAIL THEFT,TRUE,1822,8,,
THEFT,RETAIL THEFT,FALSE,622,44,,
THEFT,FROM BUILDING,FALSE,1834,8,,
THEFT,OVER $500,FALSE,1421,22,,
CRIMINAL TRESPASS,TO LAND,TRUE,332,43,,
BATTERY,AGGRAVATED: HANDGUN,FALSE,832,66,,
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,FALSE,832,66,,
THEFT,RETAIL THEFT,FALSE,924,61,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1134,29,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1522,25,,
NARCOTICS,POSS: HEROIN(WHITE),TRUE,1121,23,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,215,38,,
BATTERY,SIMPLE,FALSE,1533,25,,
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,FALSE,1914,3,,
BURGLARY,FORCIBLE ENTRY,FALSE,822,62,,
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,TRUE,1512,25,,
CRIMINAL DAMAGE,TO PROPERTY,TRUE,511,49,,
CRIMINAL TRESPASS,TO LAND,TRUE,122,32,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,915,34,,
THEFT,RETAIL THEFT,FALSE,131,33,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,2413,2,,
THEFT,RETAIL THEFT,FALSE,523,53,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,2233,75,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1112,23,,
BURGLARY,UNLAWFUL ENTRY,FALSE,2223,73,,
BATTERY,AGGRAVATED: HANDGUN,FALSE,1012,29,,
THEFT,FROM BUILDING,FALSE,1832,8,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2234,75,,
BURGLARY,FORCIBLE ENTRY,FALSE,925,61,,
ARSON,BY FIRE,FALSE,831,66,,
KIDNAPPING,UNLAWFUL RESTRAINT,FALSE,512,49,,
THEFT,$500 AND UNDER,FALSE,511,50,,
THEFT,FROM BUILDING,FALSE,711,68,,
NARCOTICS,POSS: CRACK,TRUE,532,53,,
BATTERY,SIMPLE,FALSE,2413,2,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,322,69,,
DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,FALSE,1623,15,,
THEFT,$500 AND UNDER,TRUE,612,71,,
BATTERY,SIMPLE,FALSE,2012,77,,
THEFT,$500 AND UNDER,FALSE,111,32,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1724,16,,
ASSAULT,SIMPLE,FALSE,1711,13,,
THEFT,RETAIL THEFT,TRUE,2422,1,,
NARCOTICS,POSS: HEROIN(WHITE),TRUE,1011,29,,
ASSAULT,SIMPLE,FALSE,1232,28,,
THEFT,RETAIL THEFT,TRUE,225,37,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,333,43,,
OTHER OFFENSE,PAROLE VIOLATION,TRUE,2533,25,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1014,29,,
OTHER OFFENSE,PAROLE VIOLATION,TRUE,2535,23,,
BATTERY,SIMPLE,FALSE,2423,1,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2413,2,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,424,46,,
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,FALSE,1934,6,,
THEFT,RETAIL THEFT,TRUE,1822,8,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1132,26,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,611,71,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1225,28,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,311,40,,
OTHER OFFENSE,LICENSE VIOLATION,TRUE,1533,25,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1112,23,,
THEFT,RETAIL THEFT,FALSE,1232,28,,
ROBBERY,ARMED: OTHER DANGEROUS WEAPON,FALSE,1422,22,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1531,25,,
THEFT,$500 AND UNDER,FALSE,1031,30,,
THEFT,OVER $500,FALSE,2012,4,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1114,26,,
THEFT,FROM BUILDING,FALSE,2211,74,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,215,38,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,923,63,,
THEFT,RETAIL THEFT,TRUE,513,51,,
PUBLIC PEACE VIOLATION,OTHER VIOLATION,FALSE,1624,15,,
ROBBERY,VEHICULAR HIJACKING,FALSE,311,40,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1115,26,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,323,69,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1121,23,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,323,69,,
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,FALSE,211,35,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1613,10,,
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,FALSE,1731,16,,
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,FALSE,2234,75,,
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,FALSE,2533,25,,
BATTERY,SIMPLE,FALSE,1234,31,,
THEFT,$500 AND UNDER,FALSE,833,65,,
CRIMINAL TRESPASS,TO LAND,FALSE,1421,23,,
DECEPTIVE PRACTICE,COUNTERFEIT CHECK,FALSE,1723,14,,
THEFT,FROM BUILDING,FALSE,1213,24,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,413,48,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,123,32,,
CRIMINAL TRESPASS,TO RESIDENCE,FALSE,612,71,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,1912,6,,
ASSAULT,SIMPLE,TRUE,513,49,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,213,38,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,735,67,,
PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,TRUE,122,32,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,725,67,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1733,16,,
BURGLARY,ATTEMPT FORCIBLE ENTRY,FALSE,421,43,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1121,23,,
THEFT,$500 AND UNDER,FALSE,323,69,,
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,FALSE,1012,29,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,922,58,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1614,76,,
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,FALSE,812,64,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,833,65,,
NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,TRUE,1533,25,,
DECEPTIVE PRACTICE,COUNTERFEIT CHECK,FALSE,2222,71,,
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,FALSE,731,69,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,725,67,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,723,68,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,1022,29,,
THEFT,RETAIL THEFT,TRUE,1913,3,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,822,63,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,2223,73,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2515,25,,
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,FALSE,913,60,,
BURGLARY,ATTEMPT FORCIBLE ENTRY,FALSE,2514,19,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1014,29,,
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,FALSE,121,28,,
BATTERY,SIMPLE,FALSE,1121,23,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,413,48,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1914,3,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,833,65,,
BURGLARY,FORCIBLE ENTRY,FALSE,1913,3,,
THEFT,$500 AND UNDER,FALSE,1624,15,,
BURGLARY,FORCIBLE ENTRY,FALSE,1632,17,,
THEFT,OVER $500,FALSE,2222,71,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,925,61,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,632,44,,
DECEPTIVE PRACTICE,COMPUTER FRAUD,FALSE,2514,19,,
THEFT,$500 AND UNDER,FALSE,1533,25,,
ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,FALSE,1814,7,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,731,69,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,935,37,,
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,FALSE,333,43,,
ROBBERY,AGGRAVATED VEHICULAR HIJACKING,FALSE,1413,22,,
THEFT,$500 AND UNDER,FALSE,212,36,,
BATTERY,SIMPLE,FALSE,1834,8,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,821,63,,
